C++ Loop Execution time (ns),Java Loop Execution time (ns)
15937806,2231976
17478878,2478700
19714995,2915751
376,1007
121855,11117
334300,28690
639708,49901
1042530,94278
1538911,146518
2130214,257707
2852360,327676
3691617,439908
4564818,556554
5563290,747918
6635252,887703
7888473,2188510
9167457,1207817
10733603,1441204
12001528,1611760
13871700,1826563
15469562,2125770
17460737,2496026
19812350,2891912
354,1136
119211,12673
332324,33856
650171,50398
1044428,89871
1532491,146709
2135831,236020
2844057,332607
3658698,434218
4565872,555657
5616123,728525
6641360,868740
7832542,1026975
9137680,1218260
10694348,1427869
12065821,1600439
13871970,1840953
15468783,2195124
17347195,2493341
19489794,3046741
360,3719
123397,19614
335528,46418
637407,79062
1042354,95491
1535365,143793
2132719,270960
2840345,330446
3645397,458450
4775330,625274
5877210,722137
6638853,926645
7838990,1126958
9134938,1284541
10516899,1513372
12023003,1893251
13824458,2055573
15466643,2336474
18088400,2618194
19652780,3145014
355,1687
121254,15332
304356,28162
574768,51007
924619,87326
1728240,142837
2762583,236724
3000687,359067
3989437,456014
4819556,589138
5822742,699278
6897702,877615
7975718,1062157
10276206,1269310
10991857,1574894
12109927,1724909
13958447,1966569
15738350,2262575
19396793,2563170
19656880,3036716
392,874
120220,11195
339698,27944
636425,52024
1049982,89342
1534975,145484
2130082,236426
2845797,344438
3661043,431168
4558726,557741
5555781,714763
6632161,912839
7836715,1024529
9143803,1240271
10775790,1448125
12070321,1702828
13881993,1942330
15611741,2289244
17501229,2668518
19673347,2931492
384,865
120530,11452
